Summary,Issue Type,Description,Priority,Story Points,Epic Name,Epic Link,Labels,Sprint
HU-014 · Crear usuario,Story,"Como administrador, quiero dar de alta a una persona en mi organización, para que pueda acceder a los cursos.

CRITERIOS DE ACEPTACIÓN
1. El correo es único en todo el sistema; si se repite, error claro.
2. La contraseña se almacena cifrada, nunca en texto plano.
3. El usuario queda siempre en mi organización, aunque envíe otra en la petición.
4. Solo un superadmin puede crear otro superadmin.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-001",Highest,3,,Usuarios y Roles,MVP,Sprint 3
HU-020 · Crear grupo,Story,"Como administrador, quiero crear un grupo dentro de mi organización, para administrar aprendices en bloque.

CRITERIOS DE ACEPTACIÓN
1. El grupo queda asociado a mi organización de forma automática.
2. Opcionalmente puedo añadir aprendices en el mismo paso.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-001

Nota: Funciona, pero no guarda tenant_id: los grupos creados por la API quedan huérfanos de organización.",Highest,3,,Grupos,MVP,Sprint 3
HU-026 · Crear curso,Story,"Como administrador / instructor, quiero registrar un curso nuevo, para ofrecer contenido formativo.

CRITERIOS DE ACEPTACIÓN
1. El curso queda en mi organización y en estado borrador hasta publicarlo.
2. El instructor asignado debe ser un usuario existente con rol instructor.
3. Un instructor solo puede crear cursos en su organización.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-001

Nota: El controlador pasa el objeto request completo al servicio en lugar del cuerpo. Falla siempre.",Highest,3,,Cursos y Estructura de Contenido,MVP,Sprint 3
HU-015 · Consultar usuarios con filtros,Story,"Como administrador, quiero ver, buscar y filtrar las personas de mi organización, para gestionarlas con agilidad.

CRITERIOS DE ACEPTACIÓN
1. Puedo filtrar por rol y estado, y buscar por nombre o correo.
2. El listado se pagina a partir de 50 registros.
3. Nunca se expone el hash de la contraseña.
4. Un admin solo ve su organización; el superadmin ve todas.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-014

Nota: Falta paginación y búsqueda por texto; el filtrado por rol y tenant ya funciona.",Highest,3,,Usuarios y Roles,MVP,Sprint 4
HU-023 · Gestionar integrantes de un grupo,Story,"Como administrador, quiero añadir y quitar aprendices de un grupo, para reflejar los cambios de matrícula.

CRITERIOS DE ACEPTACIÓN
1. Puedo añadir varios de una vez desde un buscador.
2. Añadir a alguien que ya está no genera duplicados ni error.
3. Solo puedo añadir personas de mi organización.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-020, HU-014

Nota: La lógica de upsert está bien resuelta. Falta autenticación y validación de organización.",Highest,3,,Grupos,MVP,Sprint 4
HU-027 · Consultar cursos,Story,"Como administrador / instructor, quiero ver el catálogo de cursos de mi organización, para gestionar la oferta formativa.

CRITERIOS DE ACEPTACIÓN
1. El admin ve todos los cursos de su organización.
2. El instructor ve únicamente los cursos que tiene asignados.
3. Se puede buscar por nombre y filtrar por estado.
4. Requiere autenticación.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-026

Nota: El listado responde sin token y sin filtrar. La consulta por id está rota: pasa el request como identificador.",Highest,3,,Cursos y Estructura de Contenido,MVP,Sprint 4
HU-032 · Organizar el curso en secciones,Story,"Como instructor, quiero dividir el curso en secciones ordenados, para que el aprendiz siga una secuencia lógica en vez de una lista plana.

CRITERIOS DE ACEPTACIÓN
1. Puedo crear, renombrar y eliminar secciones dentro de un curso.
2. Cada sección agrupa actividades, recursos, evaluaciones y juegos.
3. Puedo reordenar secciones y sus contenidos arrastrando.
4. Un sección vacío no se muestra al aprendiz.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-026

Nota: Cambio estructural. Hoy el curso guarda las actividades en un arreglo plano de texto, sin orden ni agrupación.",Highest,8,,Cursos y Estructura de Contenido,MVP,Sprint 4
HU-016 · Editar usuario,Story,"Como administrador, quiero actualizar los datos de una persona, para mantener la información al día.

CRITERIOS DE ACEPTACIÓN
1. Puedo actualizar campos sueltos sin enviar el registro completo.
2. Si cambio la contraseña, se vuelve a cifrar.
3. Un admin no puede promover a nadie a superadmin.
4. Un admin no puede editar usuarios de otra organización.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-014

Nota: No valida que el usuario objetivo pertenezca al tenant de quien edita.",Highest,3,,Usuarios y Roles,MVP,Sprint 5
HU-017 · Eliminar usuario,Story,"Como administrador, quiero dar de baja a una persona, para depurar la base de usuarios.

CRITERIOS DE ACEPTACIÓN
1. Se pide confirmación antes de borrar.
2. Si no existe, la respuesta es 404, no 500.
3. Un admin no puede borrar usuarios de otra organización.
4. Se advierte qué pasa con sus entregas y su progreso.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-014

Nota: Devuelve 500 cuando el usuario no existe, y no valida tenant.",Medium,2,,Usuarios y Roles,MVP,Sprint 5
HU-018 · Asignar y cambiar rol,Story,"Como administrador, quiero definir si alguien es aprendiz, instructor o administrador, para controlar qué puede hacer cada persona.

CRITERIOS DE ACEPTACIÓN
1. Los roles disponibles dependen de mi propio rol: un admin no puede crear superadmins.
2. El cambio de rol se refleja en el siguiente inicio de sesión del afectado.
3. El cambio queda registrado en auditoría con autor y fecha.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-014

Nota: El cambio funciona, pero no hay registro de auditoría ni invalidación del token vigente.",Highest,3,,Usuarios y Roles,MVP,Sprint 5
HU-021 · Consultar grupos,Story,"Como administrador, quiero ver los grupos de mi organización con sus integrantes y cursos, para saber cómo está distribuida la gente.

CRITERIOS DE ACEPTACIÓN
1. Cada grupo muestra el número de integrantes y los cursos asignados.
2. Solo veo grupos de mi organización.
3. Requiere autenticación.

Valor de negocio: 3/5  ·  Prioridad: Must

Depende de: HU-020

Nota: Riesgo alto: hoy responde sin token y sin filtrar por organización. Expone correos y roles de todos los usuarios.",Highest,3,,Grupos,MVP,Sprint 5
HU-024 · Asignar cursos a un grupo,Story,"Como administrador, quiero vincular uno o varios cursos a un grupo completo, para no asignar el curso persona por persona.

CRITERIOS DE ACEPTACIÓN
1. Al asignar un curso al grupo, todos sus integrantes lo ven de inmediato.
2. Quitar el curso del grupo retira el acceso, sin borrar el progreso ya logrado.
3. Solo puedo asignar cursos de mi organización.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-020, HU-027

Nota: Hueco importante: es el mecanismo central de asignación y hoy solo se puede poblar con el seed.",Highest,3,,Grupos,MVP,Sprint 5
HU-034 · Crear actividad o recurso,Story,"Como instructor, quiero añadir una actividad dentro de un sección, para estructurar el contenido del curso.

CRITERIOS DE ACEPTACIÓN
1. Puedo elegir el tipo: recurso, tarea entregable, evaluación o juego.
2. La actividad queda dentro del sección y la organización correctos.
3. Los campos obligatorios se validan antes de guardar.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-032

Nota: La ruta monta el servicio en lugar del controlador. Además el controlador correcto importa un archivo que no existe.",Highest,3,,Actividades y Recursos Multimedia,MVP,Sprint 5
HU-025 · Ver mis grupos,Story,"Como aprendiz, quiero ver a qué grupos pertenezco, para entender de dónde vienen mis cursos.

CRITERIOS DE ACEPTACIÓN
1. Veo el nombre y descripción de cada grupo al que pertenezco.
2. Requiere sesión iniciada.

Valor de negocio: 2/5  ·  Prioridad: Could

Depende de: HU-023

Nota: La ruta no monta el middleware de autenticación, por lo que siempre responde 401. Corrección de una línea.",Low,1,,Grupos,MVP,Sprint 6
HU-041 · Crear un examen,Story,"Como instructor, quiero crear un examen dentro de una sección, cargando sus preguntas con opciones y la respuesta correcta, para evaluar formalmente lo aprendido, como en cualquier plataforma de formación.

CRITERIOS DE ACEPTACIÓN
1. Al crear la actividad elijo el tipo examen, y el formulario me pide preguntas, opciones y cuál es la correcta.
2. Configuro puntaje total, tiempo límite e intentos permitidos.
3. Puedo previsualizar el examen tal como lo verá el aprendiz antes de publicarlo.
4. El examen queda dentro de la sección y el curso correctos.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-034

Nota: Las preguntas se guardan con una estructura común para que después puedan reaprovecharse en un juego, pero el instructor nunca tiene que gestionar un banco aparte: carga lo que pide el examen y ya.",Highest,8,,Evaluaciones,MVP,Sprint 6
HU-046 · Subir entrega,Story,"Como aprendiz, quiero adjuntar mi trabajo en una actividad entregable, para cumplir con lo asignado.

CRITERIOS DE ACEPTACIÓN
1. Solo disponible en actividades de tipo entregable.
2. Se validan formato y tamaño antes de subir.
3. La entrega queda en estado entregado, con fecha y hora.
4. Puedo reemplazarla mientras el plazo siga abierto y no esté calificada.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-034",Highest,5,,Entregas y Calificación,MVP,Sprint 6
HU-051 · Definir el XP de una actividad,Story,"Como instructor, quiero asignar cuántos puntos otorga cada actividad, para calibrar la dificultad y el incentivo.

CRITERIOS DE ACEPTACIÓN
1. El valor es un entero positivo dentro de un rango configurable por la organización.
2. Se puede cambiar después, sin afectar el XP ya otorgado.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-034",Highest,2,,Gamificación: XP y Niveles,MVP,Sprint 6
HU-037 · Subir material de apoyo,Story,"Como instructor, quiero adjuntar archivos a una actividad, para entregar el material de estudio.

CRITERIOS DE ACEPTACIÓN
1. Se aceptan PDF, imágenes y video, con un límite de tamaño explícito.
2. Un formato o tamaño no permitido se rechaza con mensaje claro antes de subir.
3. Se muestra el progreso de carga.
4. El archivo queda accesible solo para quien tiene acceso al curso.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-034

Nota: Los archivos de Drive se publican como accesibles para cualquiera con el enlace. Revisar si es aceptable para contenido de clientes.",Highest,5,,Actividades y Recursos Multimedia,MVP,Sprint 7
HU-040 · Marcar actividad como completada,Story,"Como aprendiz, quiero marcar que terminé una actividad de tipo recurso, para llevar el control de mi avance y recibir mi XP.

CRITERIOS DE ACEPTACIÓN
1. Solo aplica a recursos; las tareas y evaluaciones se completan al entregarlas o resolverlas.
2. Al marcarla se acredita el XP configurado, una sola vez.
3. Desmarcarla no retira el XP ya otorgado.
4. El avance del curso se recalcula al instante.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-034, HU-042

Nota: Pieza faltante clave: sin registro de progreso no hay gamificación posible.",Highest,5,,Actividades y Recursos Multimedia,MVP,Sprint 7
HU-048 · Calificar y retroalimentar entrega,Story,"Como instructor, quiero poner nota y comentario a una entrega, para evaluar y orientar la mejora del aprendiz.

CRITERIOS DE ACEPTACIÓN
1. La nota se valida contra el rango configurado en la actividad.
2. El comentario de retroalimentación es obligatorio.
3. Al guardar, la entrega pasa a calificada y se acredita el XP de la actividad.
4. El aprendiz recibe una notificación.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-046

Nota: Es el punto donde se conectan entregas y gamificación: el XP se otorga al calificar, no al subir.",Highest,5,,Entregas y Calificación,MVP,Sprint 7
HU-028 · Editar curso,Story,"Como administrador / instructor, quiero modificar los datos de un curso, para mantener la información vigente.

CRITERIOS DE ACEPTACIÓN
1. El instructor solo puede editar cursos que tiene asignados.
2. Los cambios se reflejan de inmediato para los aprendices.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-026",Highest,3,,Cursos y Estructura de Contenido,MVP,Sprint 8
HU-044 · Presentar y responder una evaluación,Story,"Como aprendiz, quiero resolver el examen dentro de la plataforma, para demostrar lo aprendido.

CRITERIOS DE ACEPTACIÓN
1. El cronómetro es visible y al agotarse la evaluación se envía automáticamente.
2. Las respuestas se van guardando para no perderlas si se corta la conexión.
3. No puedo superar el número de intentos configurado.
4. El orden de preguntas y opciones puede aleatorizarse.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-041

Nota: Es el motor común: presentar preguntas, recoger respuestas y controlar tiempo e intentos. El concurso del sprint 11 lo reutiliza entero, solo cambia la presentación.",Highest,8,,Evaluaciones,MVP,Sprint 8
HU-052 · Acreditar XP al completar,Story,"Como sistema, quiero sumar el XP al aprendiz cuando corresponde, para reflejar su progreso real.

CRITERIOS DE ACEPTACIÓN
1. En recursos, al marcarlos completados.
2. En entregas, al momento de ser calificadas, nunca al subir el archivo.
3. En exámenes y juegos, en proporción al resultado obtenido.
4. Cada acreditación queda registrada con su origen, para poder auditarla.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-040, HU-048, HU-051",Highest,5,,Gamificación: XP y Niveles,MVP,Sprint 8
HU-030 · Asignar instructor a un curso,Story,"Como administrador, quiero designar quién dicta cada curso, para definir responsables.

CRITERIOS DE ACEPTACIÓN
1. Solo se pueden seleccionar usuarios con rol instructor de mi organización.
2. El instructor asignado pasa a ver el curso en su listado.
3. Se puede reasignar a otro instructor.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-026

Nota: El campo guarda un correo en vez de una referencia al usuario. Conviene cambiarlo a clave foránea.",Highest,3,,Cursos y Estructura de Contenido,MVP,Sprint 9
HU-031 · Ver mis cursos asignados,Story,"Como aprendiz, quiero ver únicamente los cursos que me corresponden, para entrar directo a lo mío sin ruido.

CRITERIOS DE ACEPTACIÓN
1. Veo los cursos asignados a mí o a cualquiera de mis grupos, sin duplicados.
2. No veo cursos de otros grupos ni de otras organizaciones.
3. Cada curso muestra mi porcentaje de avance.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-024

Nota: La resolución grupo a curso ya funciona. Falta el porcentaje de avance.",Highest,3,,Cursos y Estructura de Contenido,MVP,Sprint 9
HU-045 · Calificar la evaluación y acreditar puntos,Story,"Como sistema, quiero calcular la nota al enviar y otorgar los puntos correspondientes, para dar resultado inmediato sin trabajo del instructor.

CRITERIOS DE ACEPTACIÓN
1. La nota se calcula al instante para preguntas de opción múltiple.
2. El aprendiz ve qué acertó y qué falló, si el instructor lo habilitó.
3. Los puntos se acreditan en proporción a la nota obtenida.
4. El resultado queda en el histórico del aprendiz.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-044",Highest,5,,Evaluaciones,MVP,Sprint 9
HU-065 · Crear actividad de concurso de preguntas,Story,"Como instructor, quiero crear una actividad de tipo concurso de preguntas indicando las preguntas con sus opciones y la correcta, para reforzar el tema de forma lúdica sin tener que diseñar el juego a mano.

CRITERIOS DE ACEPTACIÓN
1. Al crear la actividad elijo concurso de preguntas y el formulario me pide exactamente las preguntas con sus opciones y la correcta.
2. Configuro cuántas preguntas, el tiempo por pregunta y si la dificultad va en aumento.
3. Puedo previsualizarlo y volver a generarlo hasta que me guste antes de publicarlo.
4. Queda insertado como una actividad más dentro de la sección.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-034

Nota: Reutiliza el mismo motor de presentación y calificación del examen: cambia la piel, no la mecánica. Por eso es el juego más barato de los llamativos y el mejor candidato para el MVP.",Medium,5,,Juegos Autogenerables,MVP,Sprint 9
HU-035 · Consultar actividades de un curso,Story,"Como usuario, quiero ver las actividades disponibles, para saber qué tengo que hacer.

CRITERIOS DE ACEPTACIÓN
1. Las actividades se muestran agrupadas por sección y en orden.
2. El aprendiz solo ve actividades de cursos que tiene asignados.
3. Cada actividad indica su estado: pendiente, entregada o completada.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-034

Nota: El endpoint nunca responde: la petición queda abierta hasta que el cliente corta por tiempo.",Highest,3,,Actividades y Recursos Multimedia,MVP,Sprint 10
HU-038 · Ver y descargar material,Story,"Como usuario, quiero abrir o descargar los archivos de una actividad, para estudiar el material.

CRITERIOS DE ACEPTACIÓN
1. Los PDFs y videos se previsualizan sin salir de la plataforma.
2. Solo accedo a material de cursos que tengo asignados.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-037",Highest,3,,Actividades y Recursos Multimedia,MVP,Sprint 10
HU-047 · Consultar entregas pendientes,Story,"Como instructor, quiero ver qué entregas tengo por calificar, para organizar mi trabajo.

CRITERIOS DE ACEPTACIÓN
1. Puedo filtrar por pendientes y ordenar por fecha de entrega.
2. Solo veo entregas de cursos que tengo asignados.
3. Se muestra un contador de pendientes.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-046",Highest,3,,Entregas y Calificación,MVP,Sprint 10
HU-054 · Subir de nivel automáticamente,Story,"Como sistema, quiero recalcular el nivel cuando el XP cruza un umbral, para que el progreso se sienta inmediato.

CRITERIOS DE ACEPTACIÓN
1. El nivel se recalcula en la misma operación que acredita el XP.
2. Al subir de nivel se muestra una celebración en la interfaz y se emite una notificación.
3. El nivel nunca baja aunque se ajuste la tabla a la baja.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-052",Highest,3,,Gamificación: XP y Niveles,MVP,Sprint 10
HU-067 · Jugar y ganar puntos,Story,"Como aprendiz, quiero jugar los juegos de mi curso y ganar puntos según cómo me vaya, para aprender de forma entretenida.

CRITERIOS DE ACEPTACIÓN
1. Los puntos dependen del desempeño, no de la simple participación.
2. Al repetir el juego, el puntaje completo solo se otorga la primera vez.
3. Mi mejor resultado queda registrado en el histórico.
4. El juego funciona en móvil.

Valor de negocio: 5/5  ·  Prioridad: Must

Depende de: HU-065, HU-052

Nota: El segundo criterio no es un detalle: sin él, un juego rejugable convierte los puntos en una fuente infinita y el ranking deja de medir aprendizaje.",Highest,5,,Juegos Autogenerables,MVP,Sprint 10
HU-049 · Ver mi calificación y retroalimentación,Story,"Como aprendiz, quiero consultar la nota y el comentario del instructor, para saber cómo me fue y qué mejorar.

CRITERIOS DE ACEPTACIÓN
1. La nota y el comentario solo son visibles una vez calificada la entrega.
2. Se muestra la fecha de calificación y el XP obtenido.

Valor de negocio: 4/5  ·  Prioridad: Must

Depende de: HU-048",Highest,2,,Entregas y Calificación,MVP,Sprint 11
HU-056 · Ver mi XP y nivel,Story,"Como aprendiz, quiero consultar mi puntaje y nivel actual, para monitorear mi progreso.

CRITERIOS DE ACEPTACIÓN
1. Veo XP total, nivel actual y cuánto falta para el siguiente.
2. Veo el detalle de las últimas acreditaciones y su origen.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-052",Medium,2,,Gamificación: XP y Niveles,MVP,Sprint 11
HU-057 · Ver tabla de posiciones,Story,"Como aprendiz, quiero ver el ranking de mi organización, para compararme y motivarme.

CRITERIOS DE ACEPTACIÓN
1. El ranking solo incluye aprendices de mi organización.
2. Se ordena por XP y muestra mi posición destacada.
3. Se puede filtrar por grupo y por periodo.
4. Instructores y administradores quedan excluidos.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-052

Nota: Devuelve error en producción. Además no filtra por organización: hoy mezclaría aprendices de clientes distintos.",Medium,3,,Gamificación: XP y Niveles,MVP,Sprint 11
HU-003 · Editar organización,Story,"Como superadmin, quiero actualizar el nombre o dominio de una organización, para corregir datos o reflejar cambios del cliente.

CRITERIOS DE ACEPTACIÓN
1. Solo se aplican nombre, dominio y estado activo; el resto se ignora.
2. Cambiar el dominio a uno ya usado devuelve error.

Valor de negocio: 3/5  ·  Prioridad: Should

Depende de: HU-001",Medium,2,,Plataforma y Multi-tenancy,Post-MVP,
HU-004 · Activar o desactivar organización,Story,"Como superadmin, quiero suspender el acceso de una organización sin borrar sus datos, para gestionar impagos o bajas temporales.

CRITERIOS DE ACEPTACIÓN
1. Con la organización inactiva, el login OAuth de ese dominio queda bloqueado.
2. Los datos existentes se conservan intactos.
3. Debe quedar claro en la UI que los usuarios ya creados aún pueden entrar con contraseña.

Valor de negocio: 4/5  ·  Prioridad: Should

Depende de: HU-001",Medium,2,,Plataforma y Multi-tenancy,Post-MVP,
HU-005 · Eliminar organización,Story,"Como superadmin, quiero borrar definitivamente una organización, para cerrar la cuenta de un cliente que se va.

CRITERIOS DE ACEPTACIÓN
1. Se pide confirmación explícita escribiendo el nombre de la organización.
2. Se advierte que se borran en cascada sus grupos y cursos.
3. Los usuarios no se borran: quedan sin organización asignada.

Valor de negocio: 2/5  ·  Prioridad: Could

Depende de: HU-001",Low,3,,Plataforma y Multi-tenancy,Post-MVP,
